index,Year,Winning League,Winning team,Winning Team Modern Franchise,Winning Manager,Games,Losing League,Losing team,Losing Team Modern Franchise,Losing Manager
0,1903,American League,Boston Americans,Boston Red Sox,Jimmy Collins,5–3,National League,Pittsburgh Pirates,Pittsburgh Pirates,Fred Clarke
1,1905,National League,New York Giants,San Francisco Giants,John McGraw,4–1,American League,Philadelphia Athletics,Oakland Athletics,Connie Mack
2,1906,American League,Chicago White Sox,Chicago White Sox,Fielder Jones,4–2,National League,Chicago Cubs,Chicago Cubs,Frank Chance
3,1907,National League,Chicago Cubs,Chicago Cubs,Frank Chance,4–0,American League,Detroit Tigers,Detroit Tigers,Hugh Jennings
4,1908,National League,Chicago Cubs,Chicago Cubs,Frank Chance,4–1,American League,Detroit Tigers,Detroit Tigers,Hugh Jennings
5,1909,National League,Pittsburgh Pirates,Pittsburgh Pirates,Fred Clarke,4–3,American League,Detroit Tigers,Detroit Tigers,Hugh Jennings
6,1910,American League,Philadelphia Athletics,Oakland Athletics,Connie Mack,4–1,National League,Chicago Cubs,Chicago Cubs,Frank Chance
7,1911,American League,Philadelphia Athletics,Oakland Athletics,Connie Mack,4–2,National League,New York Giants,San Francisco Giants,John McGraw
8,1912,American League,Boston Red Sox,Boston Red Sox,Jake Stahl,4–3,National League,New York Giants,San Francisco Giants,John McGraw
9,1913,American League,Philadelphia Athletics,Oakland Athletics,Connie Mack,4–1,National League,New York Giants,San Francisco Giants,John McGraw
10,1914,National League,Boston Braves,Atlanta Braves,George Stallings,4–0,American League,Philadelphia Athletics,Oakland Athletics,Connie Mack
11,1915,American League,Boston Red Sox,Boston Red Sox,Bill Carrigan,4–1,National League,Philadelphia Phillies,Philadelphia Phillies,Pat Moran
12,1916,American League,Boston Red Sox,Boston Red Sox,Bill Carrigan,4–1,National League,Brooklyn Robins,Los Angeles Dodgers,Wilbert Robinson
13,1917,American League,Chicago White Sox,Chicago White Sox,Pants Rowland,4–2,National League,New York Giants,San Francisco Giants,John McGraw
14,1918,American League,Boston Red Sox,Boston Red Sox,Ed Barrow,4–2,National League,Chicago Cubs,Chicago Cubs,Fred Mitchell
15,1919,National League,Cincinnati Reds,Cincinnati Reds,Pat Moran,5–3,American League,Chicago White Sox,Chicago White Sox,Kid Gleason
16,1920,American League,Cleveland Indians,Cleveland Indians,Tris Speaker,5–2,National League,Brooklyn Robins,Los Angeles Dodgers,Wilbert Robinson
